"effect","group","term","estimate","std.error","statistic","df","p.value"
"fixed",NA,"(Intercept)",7.52,0.02,460.76,228.426713874258,0
"fixed",NA,"group_c",-0.18,0.03,-6.38,300.316853202862,0
"fixed",NA,"test_c",0.04,0.02,1.64,196.286158317421,0.103
"fixed",NA,"pair_type_c",-0.25,0.01,-17.84,77.4935501340928,0
"fixed",NA,"group_c:test_c",0.09,0.04,2.1,263.268200509865,0.037
"fixed",NA,"group_c:pair_type_c",0,0.02,0.21,296.897433669463,0.835
"fixed",NA,"test_c:pair_type_c",0.26,0.02,13.65,260.4177980983,0
"fixed",NA,"group_c:test_c:pair_type_c",0.04,0.04,1.04,259.536846023209,0.301
"ran_pars","ppt_id","sd__(Intercept)",0.24,NA,NA,NA,NA
"ran_pars","ppt_id","cor__(Intercept).test_c",0.27,NA,NA,NA,NA
"ran_pars","ppt_id","cor__(Intercept).pair_type_c",-0.54,NA,NA,NA,NA
"ran_pars","ppt_id","cor__(Intercept).test_c:pair_type_c",0.13,NA,NA,NA,NA
"ran_pars","ppt_id","sd__test_c",0.31,NA,NA,NA,NA
"ran_pars","ppt_id","cor__test_c.pair_type_c",-0.2,NA,NA,NA,NA
"ran_pars","ppt_id","cor__test_c.test_c:pair_type_c",-0.19,NA,NA,NA,NA
"ran_pars","ppt_id","sd__pair_type_c",0.15,NA,NA,NA,NA
"ran_pars","ppt_id","cor__pair_type_c.test_c:pair_type_c",-0.14,NA,NA,NA,NA
"ran_pars","ppt_id","sd__test_c:pair_type_c",0.17,NA,NA,NA,NA
"ran_pars","triplet_id","sd__(Intercept)",0.05,NA,NA,NA,NA
"ran_pars","triplet_id.1","sd__test_c",0.06,NA,NA,NA,NA
"ran_pars","triplet_id.2","sd__pair_type_c",0.05,NA,NA,NA,NA
"ran_pars","Residual","sd__Observation",0.33,NA,NA,NA,NA
